EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 20-11-2023
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : daily Cloud cover in oktas
23-27 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, HELGOLAND (STAID: 468).
Blended and updated with sources: 102174 910015 
See file sources.txt and stations.txt for more info.

SOUID,DATE,CC,Q_CC
102174,19520501,    0,    0
102174,19520502,    1,    0
102174,19520503,    2,    0
102174,19520504,    5,    0
102174,19520505,    5,    0
102174,19520506,    3,    0
102174,19520507,    7,    0
102174,19520508,    3,    0
102174,19520509,    7,    0
102174,19520510,    8,    0
102174,19520511,    7,    0
102174,19520512,    6,    0
102174,19520513,    2,    0
102174,19520514,    8,    0
102174,19520515,    8,    0
102174,19520516,    5,    0
102174,19520517,    3,    0
102174,19520518,    2,    0
102174,19520519,    2,    0
102174,19520520,    0,    0
102174,19520521,    5,    0
102174,19520522,    6,    0
102174,19520523,    8,    0
102174,19520524,    5,    0
102174,19520525,    6,    0
102174,19520526,    5,    0
102174,19520527,    8,    0
102174,19520528,    6,    0
102174,19520529,    6,    0
102174,19520530,    3,    0
102174,19520531,    8,    0
102174,19520601,    6,    0
102174,19520602,    6,    0
102174,19520603,    4,    0
102174,19520604,    2,    0
102174,19520605,    6,    0
102174,19520606,    6,    0
102174,19520607,    4,    0
102174,19520608,    3,    0
102174,19520609,    4,    0
102174,19520610,    8,    0
102174,19520611,    7,    0
102174,19520612,    6,    0
102174,19520613,    2,    0
102174,19520614,    8,    0
102174,19520615,    7,    0
102174,19520616,    5,    0
102174,19520617,    5,    0
102174,19520618,    4,    0
102174,19520619,    5,    0
102174,19520620,    6,    0
102174,19520621,    4,    0
102174,19520622,    7,    0
102174,19520623,    5,    0
102174,19520624,    7,    0
102174,19520625,    8,    0
102174,19520626,    8,    0
102174,19520627,    6,    0
102174,19520628,    4,    0
102174,19520629,    7,    0
102174,19520630,    3,    0
102174,19520701,    1,    0
102174,19520702,    3,    0
102174,19520703,    8,    0
102174,19520704,    6,    0
102174,19520705,    2,    0
102174,19520706,    3,    0
102174,19520707,    5,    0
102174,19520708,    5,    0
102174,19520709,    8,    0
102174,19520710,    4,    0
102174,19520711,    6,    0
102174,19520712,    6,    0
102174,19520713,    8,    0
102174,19520714,    5,    0
102174,19520715,    2,    0
102174,19520716,    5,    0
102174,19520717,    5,    0
102174,19520718,    5,    0
102174,19520719,    6,    0
102174,19520720,    6,    0
102174,19520721,    6,    0
102174,19520722,    7,    0
102174,19520723,    7,    0
102174,19520724,    2,    0
102174,19520725,    7,    0
102174,19520726,    7,    0
102174,19520727,    6,    0
102174,19520728,    5,    0
102174,19520729,    7,    0
102174,19520730,    7,    0
102174,19520731,    3,    0
102174,19520801,    5,    0
102174,19520802,    6,    0
102174,19520803,    2,    0
102174,19520804,    3,    0
102174,19520805,    7,    0
102174,19520806,    8,    0
102174,19520807,    8,    0
102174,19520808,    5,    0
102174,19520809,    7,    0
102174,19520810,    5,    0
102174,19520811,    6,    0
102174,19520812,    4,    0
102174,19520813,    2,    0
102174,19520814,    6,    0
102174,19520815,    5,    0
102174,19520816,    6,    0
102174,19520817,    4,    0
102174,19520818,    4,    0
102174,19520819,    7,    0
102174,19520820,    8,    0
102174,19520821,    6,    0
102174,19520822,    5,    0
102174,19520823,    5,    0
102174,19520824,    6,    0
102174,19520825,    7,    0
102174,19520826,    6,    0
102174,19520827,    7,    0
102174,19520828,    4,    0
102174,19520829,    4,    0
102174,19520830,    5,    0
102174,19520831,    4,    0
102174,19520901,    3,    0
102174,19520902,    5,    0
102174,19520903,    6,    0
102174,19520904,    5,    0
102174,19520905,    6,    0
102174,19520906,    5,    0
102174,19520907,    2,    0
102174,19520908,    3,    0
102174,19520909,    6,    0
102174,19520910,    3,    0
102174,19520911,    4,    0
102174,19520912,    2,    0
102174,19520913,    5,    0
102174,19520914,    5,    0
102174,19520915,    1,    0
102174,19520916,    4,    0
102174,19520917,    6,    0
102174,19520918,    4,    0
102174,19520919,    4,    0
102174,19520920,    6,    0
102174,19520921,    6,    0
102174,19520922,    5,    0
102174,19520923,    8,    0
102174,19520924,    7,    0
102174,19520925,    7,    0
102174,19520926,    6,    0
102174,19520927,    6,    0
102174,19520928,    6,    0
102174,19520929,    7,    0
102174,19520930,    8,    0
102174,19521001,    5,    0
102174,19521002,    8,    0
102174,19521003,    7,    0
102174,19521004,    7,    0
102174,19521005,    6,    0
102174,19521006,    7,    0
102174,19521007,    5,    0
102174,19521008,    4,    0
102174,19521009,    7,    0
102174,19521010,    5,    0
102174,19521011,    2,    0
102174,19521012,    2,    0
102174,19521013,    3,    0
102174,19521014,    6,    0
102174,19521015,    6,    0
102174,19521016,    5,    0
102174,19521017,    5,    0
102174,19521018,    4,    0
102174,19521019,    5,    0
102174,19521020,    3,    0
102174,19521021,    3,    0
102174,19521022,    7,    0
102174,19521023,    8,    0
102174,19521024,    6,    0
102174,19521025,    4,    0
102174,19521026,    6,    0
102174,19521027,    6,    0
102174,19521028,    8,    0
102174,19521029,    3,    0
102174,19521030,    4,    0
102174,19521031,    4,    0
102174,19521101,    7,    0
102174,19521102,    8,    0
102174,19521103,    3,    0
102174,19521104,    7,    0
102174,19521105,    7,    0
102174,19521106,    7,    0
102174,19521107,    6,    0
102174,19521108,    5,    0
102174,19521109,    7,    0
102174,19521110,    5,    0
102174,19521111,    5,    0
102174,19521112,    8,    0
102174,19521113,    8,    0
102174,19521114,    7,    0
102174,19521115,    8,    0
102174,19521116,    7,    0
102174,19521117,    5,    0
102174,19521118,    8,    0
102174,19521119,    8,    0
102174,19521120,    5,    0
102174,19521121,    6,    0
102174,19521122,    5,    0
102174,19521123,    6,    0
102174,19521124,    7,    0
102174,19521125,    3,    0
102174,19521126,    3,    0
102174,19521127,    7,    0
102174,19521128,    5,    0
102174,19521129,    6,    0
102174,19521130,    3,    0
102174,19521201,    6,    0
102174,19521202,    6,    0
102174,19521203,    4,    0
102174,19521204,    3,    0
102174,19521205,    6,    0
102174,19521206,    8,    0
102174,19521207,    6,    0
102174,19521208,    6,    0
102174,19521209,    7,    0
102174,19521210,    3,    0
102174,19521211,    8,    0
102174,19521212,    6,    0
102174,19521213,    8,    0
102174,19521214,    8,    0
102174,19521215,    7,    0
