EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 11-01-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, SANKT PETER-ORDING (STAID: 4594).
Blended and updated with sources: 128224 910028 
See file sources.txt and stations.txt for more info.

SOUID,DATE,FG,Q_FG
128224,19510101,-9999,    9
128224,19510102,-9999,    9
128224,19510103,-9999,    9
128224,19510104,-9999,    9
128224,19510105,-9999,    9
128224,19510106,-9999,    9
128224,19510107,-9999,    9
128224,19510108,-9999,    9
128224,19510109,-9999,    9
128224,19510110,-9999,    9
128224,19510111,-9999,    9
128224,19510112,-9999,    9
128224,19510113,-9999,    9
128224,19510114,-9999,    9
128224,19510115,-9999,    9
128224,19510116,-9999,    9
128224,19510117,-9999,    9
128224,19510118,-9999,    9
128224,19510119,-9999,    9
128224,19510120,-9999,    9
128224,19510121,-9999,    9
128224,19510122,-9999,    9
128224,19510123,-9999,    9
128224,19510124,-9999,    9
128224,19510125,-9999,    9
128224,19510126,-9999,    9
128224,19510127,-9999,    9
128224,19510128,-9999,    9
128224,19510129,-9999,    9
128224,19510130,-9999,    9
128224,19510131,-9999,    9
128224,19510201,-9999,    9
128224,19510202,-9999,    9
128224,19510203,-9999,    9
128224,19510204,-9999,    9
128224,19510205,-9999,    9
128224,19510206,-9999,    9
128224,19510207,-9999,    9
128224,19510208,-9999,    9
128224,19510209,-9999,    9
128224,19510210,-9999,    9
128224,19510211,-9999,    9
128224,19510212,-9999,    9
128224,19510213,-9999,    9
128224,19510214,-9999,    9
128224,19510215,-9999,    9
128224,19510216,-9999,    9
128224,19510217,-9999,    9
128224,19510218,-9999,    9
128224,19510219,-9999,    9
128224,19510220,-9999,    9
128224,19510221,-9999,    9
128224,19510222,-9999,    9
128224,19510223,-9999,    9
128224,19510224,-9999,    9
128224,19510225,-9999,    9
128224,19510226,-9999,    9
128224,19510227,-9999,    9
128224,19510228,-9999,    9
128224,19510301,-9999,    9
128224,19510302,-9999,    9
128224,19510303,-9999,    9
128224,19510304,-9999,    9
128224,19510305,-9999,    9
128224,19510306,-9999,    9
128224,19510307,-9999,    9
128224,19510308,-9999,    9
128224,19510309,-9999,    9
128224,19510310,-9999,    9
128224,19510311,-9999,    9
128224,19510312,-9999,    9
128224,19510313,-9999,    9
128224,19510314,-9999,    9
128224,19510315,-9999,    9
128224,19510316,-9999,    9
128224,19510317,-9999,    9
128224,19510318,-9999,    9
128224,19510319,-9999,    9
128224,19510320,-9999,    9
128224,19510321,-9999,    9
128224,19510322,-9999,    9
128224,19510323,-9999,    9
128224,19510324,-9999,    9
128224,19510325,-9999,    9
128224,19510326,-9999,    9
128224,19510327,-9999,    9
128224,19510328,-9999,    9
128224,19510329,-9999,    9
128224,19510330,-9999,    9
128224,19510331,-9999,    9
128224,19510401,-9999,    9
128224,19510402,-9999,    9
128224,19510403,-9999,    9
128224,19510404,-9999,    9
128224,19510405,-9999,    9
128224,19510406,-9999,    9
128224,19510407,-9999,    9
128224,19510408,-9999,    9
128224,19510409,-9999,    9
128224,19510410,-9999,    9
128224,19510411,-9999,    9
128224,19510412,-9999,    9
128224,19510413,-9999,    9
128224,19510414,-9999,    9
128224,19510415,-9999,    9
128224,19510416,-9999,    9
128224,19510417,-9999,    9
128224,19510418,-9999,    9
128224,19510419,-9999,    9
128224,19510420,-9999,    9
128224,19510421,-9999,    9
128224,19510422,-9999,    9
128224,19510423,-9999,    9
128224,19510424,-9999,    9
128224,19510425,-9999,    9
128224,19510426,-9999,    9
128224,19510427,-9999,    9
128224,19510428,-9999,    9
128224,19510429,-9999,    9
128224,19510430,-9999,    9
128224,19510501,-9999,    9
128224,19510502,-9999,    9
128224,19510503,-9999,    9
128224,19510504,-9999,    9
128224,19510505,-9999,    9
128224,19510506,-9999,    9
128224,19510507,-9999,    9
128224,19510508,-9999,    9
128224,19510509,-9999,    9
128224,19510510,-9999,    9
128224,19510511,-9999,    9
128224,19510512,-9999,    9
128224,19510513,-9999,    9
128224,19510514,-9999,    9
128224,19510515,-9999,    9
128224,19510516,-9999,    9
128224,19510517,-9999,    9
128224,19510518,-9999,    9
128224,19510519,-9999,    9
128224,19510520,-9999,    9
128224,19510521,-9999,    9
128224,19510522,-9999,    9
128224,19510523,-9999,    9
128224,19510524,-9999,    9
128224,19510525,-9999,    9
128224,19510526,-9999,    9
128224,19510527,-9999,    9
128224,19510528,-9999,    9
128224,19510529,-9999,    9
128224,19510530,-9999,    9
128224,19510531,-9999,    9
128224,19510601,-9999,    9
128224,19510602,-9999,    9
128224,19510603,-9999,    9
128224,19510604,-9999,    9
128224,19510605,-9999,    9
128224,19510606,-9999,    9
128224,19510607,-9999,    9
128224,19510608,-9999,    9
128224,19510609,-9999,    9
128224,19510610,-9999,    9
128224,19510611,-9999,    9
128224,19510612,-9999,    9
128224,19510613,-9999,    9
128224,19510614,-9999,    9
128224,19510615,-9999,    9
128224,19510616,-9999,    9
128224,19510617,-9999,    9
128224,19510618,-9999,    9
128224,19510619,-9999,    9
128224,19510620,-9999,    9
128224,19510621,-9999,    9
128224,19510622,-9999,    9
128224,19510623,-9999,    9
128224,19510624,-9999,    9
128224,19510625,-9999,    9
128224,19510626,-9999,    9
128224,19510627,-9999,    9
128224,19510628,-9999,    9
128224,19510629,-9999,    9
128224,19510630,-9999,    9
128224,19510701,-9999,    9
