EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 11-01-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, HELGOLAND-DUENE (STAID: 22427).
Blended and updated with sources: 115639 220808 910015 
See file sources.txt and stations.txt for more info.

SOUID,DATE,FG,Q_FG
115639,19520501,-9999,    9
115639,19520502,-9999,    9
115639,19520503,-9999,    9
115639,19520504,-9999,    9
115639,19520505,-9999,    9
115639,19520506,-9999,    9
115639,19520507,-9999,    9
115639,19520508,-9999,    9
115639,19520509,-9999,    9
115639,19520510,-9999,    9
115639,19520511,-9999,    9
115639,19520512,-9999,    9
115639,19520513,-9999,    9
115639,19520514,-9999,    9
115639,19520515,-9999,    9
115639,19520516,-9999,    9
115639,19520517,-9999,    9
115639,19520518,-9999,    9
115639,19520519,-9999,    9
115639,19520520,-9999,    9
115639,19520521,-9999,    9
115639,19520522,-9999,    9
115639,19520523,-9999,    9
115639,19520524,-9999,    9
115639,19520525,-9999,    9
115639,19520526,-9999,    9
115639,19520527,-9999,    9
115639,19520528,-9999,    9
115639,19520529,-9999,    9
115639,19520530,-9999,    9
115639,19520531,-9999,    9
115639,19520601,-9999,    9
115639,19520602,-9999,    9
115639,19520603,-9999,    9
115639,19520604,-9999,    9
115639,19520605,-9999,    9
115639,19520606,-9999,    9
115639,19520607,-9999,    9
115639,19520608,-9999,    9
115639,19520609,-9999,    9
115639,19520610,-9999,    9
115639,19520611,-9999,    9
115639,19520612,-9999,    9
115639,19520613,-9999,    9
115639,19520614,-9999,    9
115639,19520615,-9999,    9
115639,19520616,-9999,    9
115639,19520617,-9999,    9
115639,19520618,-9999,    9
115639,19520619,-9999,    9
115639,19520620,-9999,    9
115639,19520621,-9999,    9
115639,19520622,-9999,    9
115639,19520623,-9999,    9
115639,19520624,-9999,    9
115639,19520625,-9999,    9
115639,19520626,-9999,    9
115639,19520627,-9999,    9
115639,19520628,-9999,    9
115639,19520629,-9999,    9
115639,19520630,-9999,    9
115639,19520701,-9999,    9
115639,19520702,-9999,    9
115639,19520703,-9999,    9
115639,19520704,-9999,    9
115639,19520705,-9999,    9
115639,19520706,-9999,    9
115639,19520707,-9999,    9
115639,19520708,-9999,    9
115639,19520709,-9999,    9
115639,19520710,-9999,    9
115639,19520711,-9999,    9
115639,19520712,-9999,    9
115639,19520713,-9999,    9
115639,19520714,-9999,    9
