EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 20-11-2023
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : daily Sea level pressure in 0.1 hPa
23-27 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, HELGOLAND (STAID: 468).
Blended and updated with sources: 102176 910015 
See file sources.txt and stations.txt for more info.

SOUID,DATE,PP,Q_PP
102176,19520501,10134,    0
102176,19520502,10158,    0
102176,19520503,10098,    0
102176,19520504, 9994,    0
102176,19520505, 9980,    0
102176,19520506,10080,    0
102176,19520507,10130,    0
102176,19520508,10210,    0
102176,19520509,10170,    0
102176,19520510,10150,    0
102176,19520511,10130,    0
102176,19520512,10156,    0
102176,19520513,10172,    0
102176,19520514,10189,    0
102176,19520515,10186,    0
102176,19520516,10200,    0
102176,19520517,10266,    0
102176,19520518,10190,    0
102176,19520519,10190,    0
102176,19520520,10273,    0
102176,19520521,10298,    0
102176,19520522,10287,    0
102176,19520523,10276,    0
102176,19520524,10240,    0
102176,19520525,10216,    0
102176,19520526,10160,    0
102176,19520527,10142,    0
102176,19520528,10038,    0
102176,19520529,10039,    0
102176,19520530,10111,    0
102176,19520531,10104,    0
102176,19520601,10080,    0
102176,19520602,10117,    0
102176,19520603,10214,    0
102176,19520604,10288,    0
102176,19520605,10199,    0
102176,19520606,10094,    0
102176,19520607,10111,    0
102176,19520608,10172,    0
102176,19520609,10184,    0
102176,19520610,10152,    0
102176,19520611,10107,    0
102176,19520612,10164,    0
102176,19520613,10120,    0
102176,19520614,10052,    0
102176,19520615,10068,    0
102176,19520616,10103,    0
102176,19520617,10100,    0
102176,19520618,10062,    0
102176,19520619,10126,    0
102176,19520620,10152,    0
102176,19520621,10138,    0
102176,19520622,10053,    0
102176,19520623,10106,    0
102176,19520624,10166,    0
102176,19520625,10104,    0
102176,19520626,10190,    0
102176,19520627,10198,    0
102176,19520628,10212,    0
102176,19520629,10192,    0
102176,19520630,10206,    0
102176,19520701,10229,    0
102176,19520702,10129,    0
102176,19520703,10207,    0
102176,19520704,10284,    0
102176,19520705,10291,    0
102176,19520706,10240,    0
102176,19520707,10207,    0
102176,19520708,10177,    0
102176,19520709,10172,    0
102176,19520710,10215,    0
102176,19520711,10176,    0
102176,19520712,10104,    0
102176,19520713,10086,    0
102176,19520714,10077,    0
102176,19520715,10124,    0
102176,19520716,10149,    0
102176,19520717,10109,    0
102176,19520718,10078,    0
102176,19520719,10119,    0
102176,19520720,10141,    0
102176,19520721,10200,    0
102176,19520722,10162,    0
102176,19520723,10176,    0
102176,19520724,10203,    0
102176,19520725,10180,    0
102176,19520726,10155,    0
102176,19520727,10049,    0
102176,19520728,10026,    0
102176,19520729,10032,    0
102176,19520730,10122,    0
102176,19520731,10167,    0
102176,19520801,10118,    0
102176,19520802,10080,    0
102176,19520803,10096,    0
102176,19520804,10157,    0
102176,19520805,10144,    0
102176,19520806,10123,    0
102176,19520807,10071,    0
102176,19520808,10060,    0
102176,19520809,10044,    0
102176,19520810,10019,    0
102176,19520811,10096,    0
102176,19520812,10106,    0
102176,19520813,10122,    0
102176,19520814,10107,    0
102176,19520815,10098,    0
102176,19520816,10091,    0
102176,19520817,10086,    0
102176,19520818,10067,    0
102176,19520819,10034,    0
102176,19520820,10039,    0
102176,19520821,10112,    0
102176,19520822,10167,    0
102176,19520823,10179,    0
102176,19520824,10168,    0
102176,19520825,10134,    0
102176,19520826,10168,    0
102176,19520827,10035,    0
102176,19520828,10099,    0
102176,19520829,10133,    0
102176,19520830,10093,    0
102176,19520831,10078,    0
102176,19520901,10153,    0
102176,19520902,10139,    0
102176,19520903,10054,    0
102176,19520904,10062,    0
102176,19520905,10059,    0
102176,19520906,10050,    0
102176,19520907,10126,    0
102176,19520908,10152,    0
102176,19520909,10189,    0
102176,19520910,10205,    0
102176,19520911,10139,    0
102176,19520912,10154,    0
102176,19520913,10209,    0
102176,19520914,10254,    0
102176,19520915,10298,    0
102176,19520916,10268,    0
102176,19520917,10075,    0
102176,19520918,10072,    0
102176,19520919,10089,    0
102176,19520920,10128,    0
102176,19520921,10023,    0
102176,19520922,10126,    0
102176,19520923,10113,    0
102176,19520924,10092,    0
102176,19520925, 9939,    0
102176,19520926, 9874,    0
102176,19520927, 9934,    0
102176,19520928,10061,    0
102176,19520929,10003,    0
102176,19520930,10009,    0
102176,19521001,10005,    0
102176,19521002,10050,    0
102176,19521003,10119,    0
102176,19521004,10122,    0
102176,19521005,10070,    0
102176,19521006,10010,    0
102176,19521007,10045,    0
102176,19521008,10173,    0
102176,19521009,10090,    0
102176,19521010,10076,    0
102176,19521011,10133,    0
102176,19521012,10164,    0
102176,19521013,10080,    0
102176,19521014,10011,    0
102176,19521015,10052,    0
102176,19521016,10134,    0
102176,19521017,10255,    0
102176,19521018,10284,    0
102176,19521019,10256,    0
102176,19521020,10215,    0
102176,19521021,10144,    0
102176,19521022,10144,    0
102176,19521023,10038,    0
102176,19521024, 9984,    0
102176,19521025,10000,    0
102176,19521026,10068,    0
102176,19521027,10151,    0
102176,19521028,10065,    0
102176,19521029,10005,    0
102176,19521030,10022,    0
102176,19521031,10064,    0
102176,19521101,10094,    0
102176,19521102,10059,    0
102176,19521103,10127,    0
102176,19521104,10190,    0
102176,19521105,10071,    0
102176,19521106, 9976,    0
102176,19521107, 9975,    0
102176,19521108,10062,    0
102176,19521109,10064,    0
102176,19521110, 9937,    0
102176,19521111,10020,    0
102176,19521112,10166,    0
102176,19521113,10210,    0
102176,19521114,10256,    0
102176,19521115,10171,    0
102176,19521116,10159,    0
102176,19521117,10198,    0
102176,19521118,10233,    0
102176,19521119,10192,    0
102176,19521120,10108,    0
102176,19521121,10038,    0
102176,19521122,10004,    0
102176,19521123,10024,    0
102176,19521124, 9994,    0
102176,19521125,10016,    0
102176,19521126,10006,    0
102176,19521127, 9999,    0
102176,19521128,10068,    0
102176,19521129,10190,    0
102176,19521130,10187,    0
102176,19521201,10255,    0
102176,19521202,10184,    0
102176,19521203,10116,    0
102176,19521204,10269,    0
102176,19521205,10333,    0
102176,19521206,10345,    0
102176,19521207,10361,    0
102176,19521208,10318,    0
102176,19521209,10279,    0
102176,19521210,10179,    0
102176,19521211,10027,    0
102176,19521212, 9919,    0
102176,19521213, 9842,    0
102176,19521214, 9858,    0
102176,19521215, 9903,    0
102176,19521216, 9953,    0
102176,19521217, 9769,    0
102176,19521218,10015,    0
102176,19521219,10094,    0
102176,19521220,10016,    0
102176,19521221, 9978,    0
102176,19521222,10176,    0
102176,19521223,10149,    0
102176,19521224,10072,    0
102176,19521225,10124,    0
102176,19521226,10085,    0
102176,19521227,10042,    0
102176,19521228,10080,    0
102176,19521229,10152,    0
102176,19521230,10125,    0
102176,19521231,10016,    0
102176,19530101,10034,    0
102176,19530102,10075,    0
102176,19530103,10108,    0
102176,19530104,10221,    0
102176,19530105,10212,    0
102176,19530106,10122,    0
102176,19530107,10149,    0
102176,19530108,10172,    0
102176,19530109,10090,    0
102176,19530110,10172,    0
102176,19530111,10274,    0
102176,19530112,10312,    0
